"tab_id","tab_lbl"
"B01001","SEX BY AGE"
"B01002","MEDIAN AGE BY SEX"
"B02001","RACE"
"B03002","HISPANIC OR LATINO ORIGIN BY RACE"
"B05002","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B07204","GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN THE UNITED STATES"
"B08006","SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK"
"B09001","POPULATION UNDER 18 YEARS BY AGE"
"B09020","RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER"
"B11001","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)"
"B13002","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE"
"B14001","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B15002","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"C17002","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"B19001","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)"
"B19013","MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)"
"B19083","GINI INDEX OF INCOME INEQUALITY"
"B23025","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"C24030","SEX BY INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER"
"B25002","OCCUPANCY STATUS"
"B25003","TENURE"
"B25010","AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE"
"B25063","GROSS RENT"
"B25064","MEDIAN GROSS RENT (DOLLARS)"
"B25070","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS"
"B25077","MEDIAN VALUE (DOLLARS)"
"B26001","GROUP QUARTERS POPULATION"
"B98001","UNWEIGHTED HOUSING UNIT SAMPLE"
"B98003","UNWEIGHTED TOTAL POPULATION SAMPLE"
