"variable"	"change_cv_count"	"percent"
"b01001_001"	93616	0.8
"b01001_002"	76756	0.7
"b01001_003"	52964	0.5
"b01001_004"	51165	0.4
"b01001_005"	51827	0.4
"b01001_006"	45947	0.4
"b01001_007"	34744	0.3
"b01001_008"	18740	0.2
"b01001_009"	18079	0.2
"b01001_010"	39670	0.3
"b01001_011"	51764	0.4
"b01001_012"	53292	0.5
"b01001_013"	52200	0.5
"b01001_014"	53413	0.5
"b01001_015"	57360	0.5
"b01001_016"	58736	0.5
"b01001_017"	52833	0.5
"b01001_018"	36178	0.3
"b01001_019"	43329	0.4
"b01001_020"	34580	0.3
"b01001_021"	46177	0.4
"b01001_022"	51972	0.4
"b01001_023"	39540	0.3
"b01001_024"	27121	0.2
"b01001_025"	20991	0.2
"b01001_026"	77341	0.7
"b01001_027"	51620	0.4
"b01001_028"	51610	0.4
"b01001_029"	51442	0.4
"b01001_030"	45294	0.4
"b01001_031"	32057	0.3
"b01001_032"	17475	0.2
"b01001_033"	17331	0.2
"b01001_034"	40130	0.3
"b01001_035"	53039	0.5
"b01001_036"	54810	0.5
"b01001_037"	53803	0.5
"b01001_038"	55181	0.5
"b01001_039"	58733	0.5
"b01001_040"	60562	0.5
"b01001_041"	53249	0.5
"b01001_042"	37920	0.3
"b01001_043"	46187	0.4
"b01001_044"	37112	0.3
"b01001_045"	48596	0.4
"b01001_046"	54693	0.5
"b01001_047"	42429	0.4
"b01001_048"	31680	0.3
"b01001_049"	27065	0.2
"b01002_001"	67892	0.6
"b01002_002"	58515	0.5
"b01002_003"	60490	0.5
"b02001_001"	93616	0.8
"b02001_002"	84457	0.7
"b02001_003"	44014	0.4
"b02001_004"	13588	0.1
"b02001_005"	34783	0.3
"b02001_006"	3432	0.0
"b02001_007"	36036	0.3
"b02001_008"	45227	0.4
"b02001_009"	8986	0.1
"b02001_010"	41891	0.4
"b03002_001"	93616	0.8
"b03002_002"	85017	0.7
"b03002_003"	79143	0.7
"b03002_004"	42499	0.4
"b03002_005"	12193	0.1
"b03002_006"	34422	0.3
"b03002_007"	3258	0.0
"b03002_008"	3736	0.0
"b03002_009"	38102	0.3
"b03002_010"	1772	0.0
"b03002_011"	37293	0.3
"b03002_012"	61875	0.5
"b03002_013"	55638	0.5
"b03002_014"	6260	0.1
"b03002_015"	3130	0.0
"b03002_016"	1132	0.0
"b03002_017"	392	0.0
"b03002_018"	34442	0.3
"b03002_019"	15860	0.1
"b03002_020"	7672	0.1
"b03002_021"	9208	0.1
"b05002_001"	55882	0.5
"b05002_002"	48011	0.4
"b05002_003"	38061	0.3
"b05002_004"	34051	0.3
"b05002_005"	22670	0.2
"b05002_006"	25579	0.2
"b05002_007"	26480	0.2
"b05002_008"	24015	0.2
"b05002_009"	16738	0.1
"b05002_010"	5867	0.1
"b05002_011"	1250	0.0
"b05002_012"	14240	0.1
"b05002_013"	27251	0.2
"b05002_014"	24947	0.2
"b05002_021"	21956	0.2
"b07204_001"	52930	0.5
"b07204_002"	44256	0.4
"b07204_003"	32831	0.3
"b07204_004"	20665	0.2
"b07204_005"	20607	0.2
"b07204_006"	627	0.0
"b07204_007"	29757	0.3
"b07204_008"	23134	0.2
"b07204_009"	26238	0.2
"b07204_010"	22076	0.2
"b07204_011"	18761	0.2
"b07204_012"	5166	0.0
"b07204_013"	6720	0.1
"b07204_014"	10181	0.1
"b07204_015"	6871	0.1
"b07204_016"	7582	0.1
"b07204_017"	581	0.0
"b07204_018"	92	0.0
"b07204_019"	7351	0.1
"b08006_001"	46680	0.4
"b08006_002"	43069	0.4
"b08006_003"	42762	0.4
"b08006_004"	28925	0.3
"b08006_005"	27390	0.2
"b08006_006"	13702	0.1
"b08006_007"	10332	0.1
"b08006_008"	11908	0.1
"b08006_009"	9777	0.1
"b08006_010"	11036	0.1
"b08006_011"	14163	0.1
"b08006_012"	10512	0.1
"b08006_013"	518	0.0
"b08006_014"	4782	0.0
"b08006_015"	17577	0.2
"b08006_016"	15262	0.1
"b08006_017"	31243	0.3
"b11001_001"	80215	0.7
"b11001_002"	69796	0.6
"b11001_003"	65417	0.6
"b11001_004"	55028	0.5
"b11001_005"	39133	0.3
"b11001_006"	51573	0.4
"b11001_007"	62328	0.5
"b11001_008"	58776	0.5
"b11001_009"	42548	0.4
"b13002_001"	36877	0.3
"b13002_002"	20027	0.2
"b13002_003"	16169	0.1
"b13002_004"	386	0.0
"b13002_005"	13486	0.1
"b13002_006"	5816	0.1
"b13002_007"	10069	0.1
"b13002_008"	2476	0.0
"b13002_009"	8020	0.1
"b13002_010"	1462	0.0
"b13002_011"	35677	0.3
"b13002_012"	33638	0.3
"b13002_013"	1168	0.0
"b13002_014"	24986	0.2
"b13002_015"	31877	0.3
"b13002_016"	28509	0.2
"b13002_017"	26071	0.2
"b13002_018"	27052	0.2
"b13002_019"	22986	0.2
"b14001_001"	51356	0.4
"b14001_002"	37783	0.3
"b14001_003"	22076	0.2
"b14001_004"	21674	0.2
"b14001_005"	28333	0.2
"b14001_006"	28525	0.2
"b14001_007"	28991	0.3
"b14001_008"	30381	0.3
"b14001_009"	16358	0.1
"b14001_010"	48756	0.4
"b15002_001"	86710	0.8
"b15002_002"	76698	0.7
"b15002_003"	13404	0.1
"b15002_004"	7603	0.1
"b15002_005"	12506	0.1
"b15002_006"	20219	0.2
"b15002_007"	15942	0.1
"b15002_008"	19493	0.2
"b15002_009"	21185	0.2
"b15002_010"	18908	0.2
"b15002_011"	56869	0.5
"b15002_012"	39696	0.3
"b15002_013"	51150	0.4
"b15002_014"	45173	0.4
"b15002_015"	55959	0.5
"b15002_016"	39477	0.3
"b15002_017"	17342	0.2
"b15002_018"	13389	0.1
"b15002_019"	77586	0.7
"b15002_020"	14100	0.1
"b15002_021"	7727	0.1
"b15002_022"	12569	0.1
"b15002_023"	20830	0.2
"b15002_024"	15798	0.1
"b15002_025"	20433	0.2
"b15002_026"	22054	0.2
"b15002_027"	17630	0.2
"b15002_028"	57322	0.5
"b15002_029"	42058	0.4
"b15002_030"	53138	0.5
"b15002_031"	50418	0.4
"b15002_032"	61529	0.5
"b15002_033"	49961	0.4
"b15002_034"	16037	0.1
"b15002_035"	11823	0.1
"b19001_001"	80215	0.7
"b19001_002"	48816	0.4
"b19001_003"	43433	0.4
"b19001_004"	44258	0.4
"b19001_005"	42883	0.4
"b19001_006"	41972	0.4
"b19001_007"	40769	0.4
"b19001_008"	39319	0.3
"b19001_009"	39497	0.3
"b19001_010"	36523	0.3
"b19001_011"	47475	0.4
"b19001_012"	51574	0.4
"b19001_013"	58341	0.5
"b19001_014"	58730	0.5
"b19001_015"	51421	0.4
"b19001_016"	59329	0.5
"b19001_017"	65706	0.6
"b19013_001"	64315	0.6
"b19083_001"	30812	0.3
"b23025_001"	86565	0.7
"b23025_002"	77246	0.7
"b23025_003"	77054	0.7
"b23025_004"	84167	0.7
"b23025_005"	100734	0.9
"b23025_006"	4289	0.0
"b23025_007"	70949	0.6
"b25002_001"	84182	0.7
"b25002_002"	80215	0.7
"b25002_003"	58016	0.5
"b25003_001"	80215	0.7
"b25003_002"	68259	0.6
"b25003_003"	66745	0.6
"b25010_001"	64586	0.6
"b25010_002"	61620	0.5
"b25010_003"	69745	0.6
"b25063_001"	66745	0.6
"b25063_002"	65468	0.6
"b25063_003"	2215	0.0
"b25063_004"	1964	0.0
"b25063_005"	4922	0.0
"b25063_006"	8513	0.1
"b25063_007"	7539	0.1
"b25063_008"	7345	0.1
"b25063_009"	8262	0.1
"b25063_010"	10633	0.1
"b25063_011"	12644	0.1
"b25063_012"	16608	0.1
"b25063_013"	17851	0.2
"b25063_014"	18993	0.2
"b25063_015"	20797	0.2
"b25063_016"	21773	0.2
"b25063_017"	21449	0.2
"b25063_018"	35984	0.3
"b25063_019"	34961	0.3
"b25063_020"	51921	0.4
"b25063_021"	39949	0.3
"b25063_022"	42731	0.4
"b25063_023"	26528	0.2
"b25063_024"	23118	0.2
"b25064_001"	67998	0.6
"b25070_001"	66745	0.6
"b25070_002"	15513	0.1
"b25070_003"	27897	0.2
"b25070_004"	32033	0.3
"b25070_005"	31438	0.3
"b25070_006"	28338	0.2
"b25070_007"	24092	0.2
"b25070_008"	18835	0.2
"b25070_009"	23871	0.2
"b25070_010"	42122	0.4
"b25070_011"	28525	0.2
"b25077_001"	122125	1.1
"b26001_001"	5364	0.0
"c17002_001"	89192	0.8
"c17002_002"	49921	0.4
"c17002_003"	52774	0.5
"c17002_004"	40620	0.4
"c17002_005"	42603	0.4
"c17002_006"	47801	0.4
"c17002_007"	31096	0.3
"c17002_008"	86360	0.7
"c24030_001"	84167	0.7
"c24030_002"	75838	0.7
"c24030_003"	19048	0.2
"c24030_006"	46080	0.4
"c24030_007"	46111	0.4
"c24030_008"	22873	0.2
"c24030_009"	43996	0.4
"c24030_010"	39588	0.3
"c24030_013"	14369	0.1
"c24030_014"	27644	0.2
"c24030_017"	44965	0.4
"c24030_021"	42660	0.4
"c24030_024"	38786	0.3
"c24030_027"	27243	0.2
"c24030_028"	27649	0.2
"c24030_029"	73040	0.6
"c24030_030"	5709	0.0
"c24030_033"	9086	0.1
"c24030_034"	31675	0.3
"c24030_035"	10020	0.1
"c24030_036"	44113	0.4
"c24030_037"	17729	0.2
"c24030_040"	10724	0.1
"c24030_041"	33913	0.3
"c24030_044"	41424	0.4
"c24030_048"	58849	0.5
"c24030_051"	43141	0.4
"c24030_054"	29922	0.3
"c24030_055"	24690	0.2
