"vartype"	"sumlevel"	"sig_dif"	"sig_dif_count"	"percent"
"universe"	"030"	True	99	100.0
"universe"	"020"	True	44	100.0
"universe"	"010"	True	11	100.0
"universe"	"040"	True	567	99.1
"universe"	"500"	True	3407	84.2
"universe"	"310"	True	6614	75.5
"universe"	"170"	True	64	72.7
"universe"	"795"	True	18860	72.1
"universe"	"050"	True	23246	65.6
"universe"	"400"	True	12228	30.9
"universe"	"860"	True	84466	23.2
"universe"	"140"	True	180752	22.3
"universe"	"060"	True	87216	21.7
"universe"	"160"	True	69149	21.3
"universe"	"256"	True	967	18.3
"universe"	"258"	True	995	18.1
"universe"	"250"	True	1321	17.3
"universe"	"251"	True	898	17.0
"universe"	"150"	True	222783	16.9
"summary"	"020"	True	33	82.5
"summary"	"030"	True	73	81.1
"summary"	"040"	True	398	76.5
"summary"	"010"	True	7	70.0
"summary"	"500"	True	2506	68.1
"summary"	"170"	True	43	53.8
"summary"	"795"	True	11680	49.1
"summary"	"310"	True	3755	47.2
"summary"	"050"	True	12399	38.5
"summary"	"400"	True	8261	23.0
"summary"	"140"	True	141990	19.3
"summary"	"860"	True	62641	18.9
"summary"	"060"	True	60334	16.5
"summary"	"150"	True	314190	15.9
"summary"	"256"	True	762	15.8
"summary"	"160"	True	46110	15.6
"summary"	"258"	True	1271	15.4
"summary"	"251"	True	710	14.8
"summary"	"250"	True	935	13.5
"estimate"	"010"	True	272	94.4
"estimate"	"020"	True	1061	92.1
"estimate"	"030"	True	2293	88.5
"estimate"	"040"	True	10682	71.3
"estimate"	"500"	True	55924	52.8
"estimate"	"170"	True	876	38.0
"estimate"	"795"	True	230235	33.6
"estimate"	"310"	True	76267	33.3
"estimate"	"050"	True	243655	26.3
"estimate"	"400"	True	172931	16.7
"estimate"	"140"	True	2499432	11.8
"estimate"	"860"	True	1068870	11.2
"estimate"	"256"	True	13048	9.4
"estimate"	"060"	True	983568	9.3
"estimate"	"258"	True	16972	8.7
"estimate"	"160"	True	732190	8.6
"estimate"	"250"	True	15757	7.9
"estimate"	"251"	True	10380	7.5
"estimate"	"150"	True	3415341	7.3
