"table"	"sig_dif_count"	"percent"
"b01001"	19883563	18.0
"b01002"	1217361	1.1
"b02001"	4057870	3.7
"b03002"	8521527	7.7
"b05002"	2773470	2.5
"b07204"	3513062	3.2
"b08006"	3143266	2.8
"b11001"	3652083	3.3
"b13002"	3513062	3.2
"b14001"	1848980	1.7
"b15002"	14202545	12.9
"b19001"	6898379	6.2
"b19013"	405787	0.4
"b19083"	184898	0.2
"b23025"	2840509	2.6
"b25002"	1217361	1.1
"b25003"	1217361	1.1
"b25010"	1217361	1.1
"b25063"	9738888	8.8
"b25064"	405787	0.4
"b25070"	4463657	4.0
"b25077"	405787	0.4
"b26001"	184898	0.2
"c17002"	3246296	2.9
"c24030"	11767823	10.6
